1,5,500,2000
2,10,501,2001
3,11,502,2002
4,12,503,2003
5,13,504,2004
6,14,505,2005
7,15,506,2006
8,16,507,2007
9,17,508,2008
10,18,509,2009
11,19,510,2010
12,20,511,2011
13,21,512,2012
14,22,513,2013
15,23,514,2014
16,24,515,2015
17,25,516,2016
18,26,517,2017
19,27,518,2018
20,28,519,2019
21,29,520,2020
22,30,521,2021
23,31,522,2022
24,32,523,2023
25,33,524,2024
26,34,525,2025
27,35,526,2026
28,36,527,2027
29,37,528,2028
30,38,529,2029
31,39,530,2030
32,40,531,2031
33,41,532,2032
34,42,533,2033
35,43,534,2034
36,44,535,2035
37,45,536,2036
38,46,537,2037
39,47,538,2038
40,48,539,2039
41,49,540,2040
42,50,541,2041
43,51,542,2042
44,52,543,2043
45,53,544,2044
46,54,545,2045
47,55,546,2046
48,56,547,2047
49,57,548,2048
50,58,549,2049
